"","ITER_CNT","ACT_HIGH","ACT_LOW","VER_HIGH","VER_LOW","PLS_SND","PLS_REC","ACT_DUR","VER_DUR","VER_DEL","REC_SND_DIFF"
"44",43,18496.828411,18620.678381,18496.828414,18620.678384,21921444.69,10000000,123.849970000003,123.849969999999,3.00000101560727e-06,45.617431430337
"45",44,18621.678924,18747.54457,18621.678928,18747.544574,22278219.342,10000000,125.865645999998,125.865645999998,4.00000135414302e-06,44.8868908528408
"46",45,18748.545367,18874.908205,18748.54537,18874.908212,22366223.034,10000000,126.362838000001,126.362841999999,3.00000101560727e-06,44.7102757796813
"47",46,18875.908892,19002.557595,18875.908895,19002.557598,22416820.431,10000000,126.648702999999,126.648702999999,3.00000101560727e-06,44.6093594351637
"48",47,19003.558113,19135.70597,19003.558116,19135.705974,23390170.866,10000000,132.147857,132.147858,3.00000101560727e-06,42.7530010673672
"49",48,19136.706523,19265.022745,19136.706526,19265.02275,22711971.648,10000000,128.316221999998,128.316223999998,3.00000101560727e-06,44.0296428464439
"50",49,19266.023051,19394.425347,19266.023055,19394.425352,22727206.569,10000000,128.402296,128.402296999997,4.00000135414302e-06,44.0001280827888
"51",50,19395.425907,19522.505047,19395.42591,19522.505052,22493008.134,10000000,127.079139999998,127.079141999999,3.00000101560727e-06,44.4582598309036
"52",51,19523.505632,19650.428814,19523.505636,19650.428818,22465403.214,10000000,126.923181999999,126.923181999999,4.00000135414302e-06,44.5128890175815
"53",52,19651.429373,19776.968587,19651.429376,19776.968592,22220441.232,10000000,125.539214,125.539216000001,3.00000101560727e-06,45.0036067942649
"54",53,19777.968917,19913.18502,19777.968921,19913.185025,23933250.408,10000000,135.216103000002,135.216103999999,4.00000135414302e-06,41.7828745762731
"55",54,19914.185555,20053.44641,19914.185561,20053.446416,24649171.335,10000000,139.260855,139.260855,5.99999839323573e-06,40.5693151469183
"56",55,20054.447082,20183.091635,20054.447085,20183.091641,22770086.412,10000000,128.644553000002,128.644555999999,3.00000101560727e-06,43.9172685560382
"57",56,20184.091795,20313.036234,20184.091799,20313.036239,22823165.88,10000000,128.944438999999,128.944439999999,4.00000135414302e-06,43.8151308743851
"58",57,20314.036743,20442.508602,20314.036746,20442.508608,22739519.574,10000000,128.471859000001,128.471861999999,3.00000101560727e-06,43.976302874199
"59",58,20443.509196,20571.823658,20443.5092,20571.823665,22711660.305,10000000,128.314462000002,128.314464999999,4.00000135414302e-06,44.0302464271997
"60",59,20572.824192,20702.017719,20572.824197,20702.017723,22867254.102,10000000,129.193526999999,129.193525999999,5.00000169267878e-06,43.7306550029782
"61",60,20703.018272,20831.035216,20703.018277,20831.03522,22658998.911,10000000,128.016943999999,128.016943000002,4.99999805469997e-06,44.1325763740843
"62",61,20832.035728,20960.579494,20832.035732,20960.579501,22752247.113,10000000,128.543766000003,128.543769,4.00000135414302e-06,43.9517026618715
"63",62,20961.580077,21090.035256,20961.58008,21090.035261,22736567.037,10000000,128.455179,128.455181000001,3.00000101560727e-06,43.9820135719111
"64",63,21091.035807,21219.138413,21091.03581,21219.13842,22674161.97,10000000,128.102606,128.102609999998,3.00000101560727e-06,44.1030632718903
"65",64,21220.138968,21346.917821,21220.138972,21346.917828,22439857.512,10000000,126.778853,126.778856000001,4.00000135414302e-06,44.5635628241061
"66",65,21347.918349,21474.919561,21347.918353,21474.919565,22479214.524,10000000,127.001211999999,127.001211999999,4.00000135414302e-06,44.4855401389736
"67",66,21475.919881,21602.598121,21475.919885,21602.598126,22422048.657,10000000,126.678239999997,126.678241000001,3.99999771616422e-06,44.5989577178001
"68",67,21603.598747,21730.330318,21603.598751,21730.330323,22431488.244,10000000,126.731571,126.731571999997,4.00000135414302e-06,44.5801896478037
"69",68,21731.330546,21857.250879,21731.33055,21857.250882,22287898.764,10000000,125.920332999998,125.920332000002,3.99999771616422e-06,44.8673969039749
"70",69,21858.251406,21984.212112,21858.25141,21984.212116,22295044.962,10000000,125.960706000002,125.960705999998,4.00000135414302e-06,44.8530156231761
"71",70,21985.212655,22119.795844,21985.212659,22119.795848,23821224.453,10000000,134.583189000001,134.583189000001,4.00000135414302e-06,41.9793702029478
