ITER_CNT, ACT_HIGH, ACT_LOW, VER_HIGH, VER_LOW, PLS_SND, PLS_REC
89, 40409.657569000, 40534.204565000, 40409.657573000, 40534.204573000, 22044819000000.000000, 10000000
90, 40535.205112000, 40659.597057000, 40535.205116000, 40659.597064000, 22017374796000.000000, 10000000
91, 40660.597612000, 40785.094781000, 40660.597615000, 40785.094787000, 22035999444000.000000, 10000000
92, 40786.095344000, 40910.944778000, 40786.095348000, 40910.944783000, 22098349995000.000000, 10000000
93, 40911.945462000, 41036.906633000, 40911.945466000, 41036.906637000, 22118127267000.000000, 10000000
94, 41037.907207000, 41168.003674000, 41037.907210000, 41168.003680000, 23027075190000.000000, 10000000
95, 41169.004231000, 41295.617758000, 41169.004234000, 41295.617762000, 22410594456000.000000, 10000000
96, 41296.618633000, 41429.188504000, 41296.618636000, 41429.188511000, 23464867875000.000000, 10000000
97, 41430.189171000, 41558.938766000, 41430.189175000, 41558.938770000, 22788678315000.000000, 10000000
98, 41559.939501000, 41684.349336000, 41559.939504000, 41684.349341000, 22020541149000.000000, 10000000
99, 41685.349890000, 41808.832621000, 41685.349894000, 41808.832627000, 21856443741000.000000, 10000000
